deg_wav,mos
./withReverberationTrainDevMOS/0000.wav,1.12
./withReverberationTrainDevMOS/0001.wav,1.14
./withReverberationTrainDevMOS/0002.wav,1.18
./withReverberationTrainDevMOS/0003.wav,1.18
./withReverberationTrainDevMOS/0004.wav,1.33
./withReverberationTrainDevMOS/0005.wav,1.27
./withReverberationTrainDevMOS/0006.wav,1.73
./withReverberationTrainDevMOS/0007.wav,1.89
./withReverberationTrainDevMOS/0008.wav,1.7
./withReverberationTrainDevMOS/0009.wav,1.81
./withReverberationTrainDevMOS/0010.wav,1.35
./withReverberationTrainDevMOS/0013.wav,1.27
./withReverberationTrainDevMOS/0014.wav,1.09
./withReverberationTrainDevMOS/0050.wav,1.24
./withReverberationTrainDevMOS/0051.wav,1.25
./withReverberationTrainDevMOS/0053.wav,1.72
./withReverberationTrainDevMOS/0054.wav,1.46
./withReverberationTrainDevMOS/0056.wav,1.21
./withReverberationTrainDevMOS/0057.wav,1.34
./withReverberationTrainDevMOS/0059.wav,1.4
./withReverberationTrainDevMOS/0060.wav,1.05
./withReverberationTrainDevMOS/0062.wav,1.05
./withReverberationTrainDevMOS/0063.wav,1.04
./withReverberationTrainDevMOS/0064.wav,1.05
./withReverberationTrainDevMOS/0100.wav,1.14
./withReverberationTrainDevMOS/0101.wav,1.03
./withReverberationTrainDevMOS/0102.wav,1.14
./withReverberationTrainDevMOS/0103.wav,1.0
./withReverberationTrainDevMOS/0104.wav,1.07
./withReverberationTrainDevMOS/0105.wav,1.04
./withReverberationTrainDevMOS/0106.wav,1.02
./withReverberationTrainDevMOS/0107.wav,1.0
./withReverberationTrainDevMOS/0108.wav,1.01
./withReverberationTrainDevMOS/0109.wav,1.25
./withReverberationTrainDevMOS/0111.wav,1.19
./withReverberationTrainDevMOS/0112.wav,1.1
./withReverberationTrainDevMOS/0113.wav,1.31
./withReverberationTrainDevMOS/0114.wav,1.55
./withReverberationTrainDevMOS/0152.wav,1.28
./withReverberationTrainDevMOS/0153.wav,1.1
./withReverberationTrainDevMOS/0154.wav,1.21
./withReverberationTrainDevMOS/0155.wav,1.38
./withReverberationTrainDevMOS/0156.wav,1.21
./withReverberationTrainDevMOS/0158.wav,1.65
./withReverberationTrainDevMOS/0159.wav,1.24
./withReverberationTrainDevMOS/0161.wav,1.53
./withReverberationTrainDevMOS/0162.wav,1.0
./withReverberationTrainDevMOS/0163.wav,1.02
./withReverberationTrainDevMOS/0164.wav,1.01
./withReverberationTrainDevMOS/0200.wav,1.04
./withReverberationTrainDevMOS/0202.wav,1.0
./withReverberationTrainDevMOS/0203.wav,1.32
./withReverberationTrainDevMOS/0205.wav,1.0
./withReverberationTrainDevMOS/0207.wav,1.04
./withReverberationTrainDevMOS/0208.wav,1.0
./withReverberationTrainDevMOS/0209.wav,1.04
./withReverberationTrainDevMOS/0211.wav,1.0
./withReverberationTrainDevMOS/0212.wav,1.08
./withReverberationTrainDevMOS/0213.wav,1.04
./withReverberationTrainDevMOS/0214.wav,1.04
./withReverberationTrainDevMOS/0250.wav,1.2
./withReverberationTrainDevMOS/0251.wav,1.04
./withReverberationTrainDevMOS/0253.wav,1.0
./withReverberationTrainDevMOS/0255.wav,1.0
./withReverberationTrainDevMOS/0256.wav,1.0
./withReverberationTrainDevMOS/0257.wav,1.04
./withReverberationTrainDevMOS/0258.wav,1.0
